name
Acinetobacter pittii
Salmonella enterica
Escherichia coli
Mycobacterium tuberculosis
Providencia heimbachae
Stenotrophomonas maltophilia
Streptococcus gwangjuense
Proteus columbae
Mycobacteroides abscessus
Prevotella intermedia
Dysosmobacter welbionis
Neisseria meningitidis
Comamonas testosteroni
Delftia tsuruhatensis
Enterobacter hormaechei
Orrella dioscoreae
Bacillus subtilis
Shewanella putrefaciens
Actinobacillus pleuropneumoniae
Christensenella massiliensis
Citrobacter koseri
Escherichia marmotae
Acinetobacter baumannii
Cupriavidus metallidurans
Serratia marcescens
Staphylococcus schleiferi
Corynebacterium imitans
Paracoccus kondratievae
Corynebacterium jeikeium
Streptococcus equinus
Paracoccus denitrificans
Bifidobacterium animalis
Vibrio neocaledonicus
Bacteroides ovatus
Macrococcus canis
Enterobacter cloacae
Staphylococcus epidermidis
Photobacterium profundum
Providencia rettgeri
Luteibacter pinisoli
Avibacterium paragallinarum
Bifidobacterium longum
Haemophilus parainfluenzae
Cronobacter sakazakii
Burkholderia cenocepacia
Achromobacter insolitus
Pseudomonas chlororaphis
Staphylococcus aureus
Acinetobacter johnsonii
Chlamydia suis
Acinetobacter wuhouensis
Micrococcus luteus
Clostridium tetani
Proteus mirabilis
Klebsiella quasipneumoniae
Shigella sonnei
Pseudomonas stutzeri
Escherichia fergusonii
Pseudomonas fluorescens
Legionella pneumophila
Listeria innocua
Brucella ovis
Blautia producta
Propionibacterium freudenreichii
Klebsiella aerogenes
Acinetobacter junii
Massilistercora timonensis
Ralstonia pickettii
Enterobacter chengduensis
Nitrosomonas europaea
Shigella dysenteriae
Laribacter hongkongensis
Brucella melitensis
Trueperella pyogenes
Serratia liquefaciens
Clostridiales bacterium
Vibrio vulnificus
Butyricimonas faecalis
Streptococcus lutetiensis
Klebsiella huaxiensis
Cupriavidus campinensis
Eubacterium maltosivorans
Enterococcus faecium
Glutamicibacter creatinolyticus
Proteus penneri
Myroides odoratimimus
Citrobacter werkmanii
Xanthomonas oryzae
Bifidobacterium breve
Lachnoclostridium phocaeense
Myroides phaeus
Moraxella osloensis
Jeotgalibaca arthritidis
Shigella flexneri
Serratia rubidaea
Citrobacter portucalensis
Schaalia odontolytica
Aeromonas caviae
Riemerella anatipestifer
Corynebacterium diphtheriae
Ralstonia mannitolilytica
