aro,name,definition,is_a
"ARO:3005250","SHV-217","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3004107","Pseudomonas aeruginosa soxR","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001668","OXA-219","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002046","CMY-35","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3000963","TEM-96","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003169","CTX-M-161","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3005342","OXA-653","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002860","dfrA17","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003285","Staphylococcus aureus rpoB mutants conferring resistance to rifampicin","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001811","OXA-129","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003063","ykkC","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003605","OXA-449","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3004863","NDM-20","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003646","CTX-M-162","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
